Letter Issue Date,Company Name,Issuing Office,Regulated Product,Subject,Letter Type
5/17/2019,"ARDT Sales, LLC",Center for Tobacco Products,,,Warning Letter
5/15/2019,"ActiveHerb Technology, Inc",Division of Pharmaceutical Quality Operations IV,,,Warning Letter
5/14/2019,Kingston Pharma LLC,Division of Pharmaceutical Quality Operations I,,,Warning Letter
5/13/2019,"Orchid Orthopedic Solutions, LLC",Center for Devices and Radiological Health,,,Warning Letter
5/9/2019,Rocky Mountain Pharmacy Inc.,Center for Drug Evaluation and Research,,,Warning Letter
5/9/2019,"Zeller Power Products, LLC",Division of Medical Device and Radiological Health Operations West,,,Warning Letter
5/9/2019,Rechargeable Power Energy North America LLC,Division of Medical Device and Radiological Health Operations West (MDRHW),,,Warning Letter
5/7/2019,Petra Hygienic Systems Int Ltd,Center for Drug Evaluation and Research,,,Warning Letter
5/7/2019,"AMMD Labs, LLC",Division of Pharmaceutical Quality Operations II,,,Warning Letter
5/6/2019,Velvet Ice Cream Company,Division of Human and Animal Food Operations East V,"Current Good Manufacturing Practices (CGMP), Dairy",,Warning Letter
5/4/2019,Centurion Laboratories Private Limited,Center for Drug Evaluation and Research,,,Warning Letter
5/2/2019,"U.S. Continental Marketing, Inc.",Division of Pharmaceutical Quality Operations IV,,,Warning Letter
5/2/2019,Kadesh International,Division of Pharmaceutical Quality Operations IV,,,Warning Letter
5/2/2019,Bershtel Enterprises LLC dba WePackItAll,Division of Pharmaceutical Quality Operations IV,"Current Good Manufacturing Practices (CGMP), Pharmaceutical Quality",,Warning Letter
5/2/2019,Fill It Pack It Inc,Division of Pharmaceutical Quality Operations IV,,,Warning Letter
4/30/2019,Joseph Anderson d/b/a Smokin Joes,Center for Tobacco Products,,,Warning Letter
4/29/2019,Golean Detox US,Division of Pharmaceutical Quality Operations II,,,Warning Letter
4/26/2019,"N2G2, LLC d/b/a Lavoo Tobacco",Center for Tobacco Products,,,Warning Letter
4/26/2019,The Vape Shack 808 LLC,Center for Tobacco Products,,,Warning Letter
4/23/2019,Laboratoires Clarins,Center for Drug Evaluation and Research,,,Warning Letter
4/23/2019,"JBS Souderton, Inc. dba MOPAC",Division of Human and Animal Food Operations East II (HAFE2),,,Warning Letter
4/23/2019,Newton Laboratories Inc DBA Newton Homeopathics,Division of Pharmaceutical Quality Operations II,Pharmaceutical Quality,,Warning Letter
4/18/2019,"Jessie Commodity Co., Ltd.",Center for Drug Evaluation and Research,,,Warning Letter
4/18/2019,ABC Compounding Company Inc,Center for Drug Evaluation and Research,,,Warning Letter
4/15/2019,"Surgisil, LLP",Office of Medical Device and Radiological Health Operations,"Premarket Approval (PMA), General & Plastic Surgery",,Warning Letter
4/12/2019,Abaxis Inc,Office of Medical Device and Radiological Health Operations,,,Warning Letter
4/11/2019,Total Body Nutrition,Center for Food Safety & Applied Nutrition,,,Warning Letter
4/11/2019,James D. Hudson Livestock,Office of Human and Animal Food Operations-East V,,,Warning Letter
4/10/2019,Forbiddenlabz,Center for Food Safety & Applied Nutrition,,,Warning Letter
4/10/2019,eflow Nutrition LLC,Center for Food Safety & Applied Nutrition,,,Warning Letter
4/10/2019,"IQ Formulations, LLC / DBA Metabolic Nutrition Inc.",Center for Food Safety and Applied Nutrition,,,Warning Letter
4/10/2019,Hi Tech Pharmaceuticals,Center for Food Safety and Applied Nutrition,,,Warning Letter
4/10/2019,"Evol Nutrition Associates, Inc. d/b/a Red Dawn Energy",Center for Food Safety and Applied Nutrition,,,Warning Letter
4/10/2019,Atomixx,Center for Food Safety and Applied Nutrition,,,Warning Letter
4/10/2019,Goldstar Distribution,Center for Food Safety and Applied Nutrition,,,Warning Letter
4/10/2019,Iron Brothers,Center for Food Safety and Applied Nutrition,,,Warning Letter
4/10/2019,"Line One Nutrition, Inc",Center for Food Safety and Applied Nutrition,,,Warning Letter
4/10/2019,"NeuroScience Solutions, Inc. dba NeuroScience",Center for Food Safety and Applied Nutrition,,,Warning Letter
4/10/2019,"Down to Earth Solutions, LLC",Center for Food Safety and Applied Nutrition,,,Warning Letter
4/10/2019,A1 Top World Products LLC,Division of Human and Animal Food Operations West V,,,Warning Letter
4/10/2019,"Empire Distributors, Inc.",Division of Pharmaceutical Quality Operations III,"Inactive Ingredient, Misbranding",,Warning Letter
4/9/2019,"DC Laboratories Inc., d/b/a Dynamic Creations",Center for Tobacco Products,,,Warning Letter
