Posted Date,Letter Issue Date,Company Name,Issuing Office,Subject,Letter Type
06/18/2019,06/05/2019,VapeKing ELiquid Engineering,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,Warning Letter
06/18/2019,06/06/2019,PRL Inc,Division of Human and Animal Food Operations East V,CGMP/Dietary Supplement/Adulterated/Misbranded,Warning Letter
06/18/2019,06/07/2019,Earthworks Health,Office of Human and Animal Food- West Division II,Unapproved New Drugs/Misbranded,Warning Letter
06/11/2019,05/15/2019,"Tropical Seas, Inc.",Division of Pharmaceutical Quality Operations II,CGMP/Finished Pharmaceuticals/Adulterated,Warning Letter
06/11/2019,05/16/2019,McDaniel Life-Line LLC,Division of Pharmaceutical Quality Operations II,CGMP/Finished Pharmaceuticals/Adulterated,Warning Letter
06/11/2019,05/17/2019,Big Ds Vape House,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,Warning Letter
06/11/2019,05/17/2019,Judge Farms Inc,Division of Human and Animal Food Operations East V,PHS Act/Shell Egg Regulation/Adulterated,Warning Letter
06/11/2019,05/29/2019,"Vida International, Inc.",Center for Drug Evaluation and Research,CGMP/Finished Pharmaceuticals/Adulterated,Warning Letter
06/11/2019,05/30/2019,"University Fertility Laboratory, Inc.",Division of Biological Products Operations II,"Deviations/CFR/Regulations for Human Cells, Tissues & Cellular Products (HCT/Ps)",Warning Letter
06/11/2019,05/31/2019,Glint Cosmetics Pvt Ltd,Center for Drug Evaluation and Research,CGMP/Finished Pharmaceuticals/Adulterated/Unapproved/Misbranded,Warning Letter
06/11/2019,05/31/2019,Ingenue Care,Division of Pharmaceutical Quality Operations IV,CGMP/Finished Pharmaceuticals/Adulterated,Warning Letter
06/11/2019,06/03/2019,Wewoka Animal Hospital,Division of Human and Animal Food Operations West III,New Animal Drug/Adulterated,Warning Letter
06/11/2019,06/04/2019,Advanced Botanical Consulting & Testing Inc dba ABC Testing,Division of Pharmaceutical Quality Operations IV,CGMP/Finished Pharmaceuticals/Adulterated,Warning Letter
06/11/2019,06/04/2019,Spectrum Laboratory Products,Division of Pharmaceutical Quality Operations IV,CGMP/Active Pharmaceutical Ingredient (API)/Adulterated,Warning Letter
06/07/2019,06/07/2019,"Hype City Vapors, LLC",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,Warning Letter
06/07/2019,06/07/2019,Humble Juice Co. LLC,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,Warning Letter
06/07/2019,06/07/2019,"Solace Technologies, LLC d/b/a Solace Vapor",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,Warning Letter
06/07/2019,06/07/2019,Artist Liquids Laboratories LLC d/b/a Artist Liquid Labs,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,Warning Letter
06/04/2019,12/20/2018,"OriGen Biomedical, Inc.",Division of Medical Device and Radiological Health Operations West,CGMP/QSR/Medical Devices/Adulterated,Warning Letter
06/04/2019,03/14/2019,Pharmasol Corporation,Division of Pharmaceutical Quality Operations I,CGMP/Finished Pharmaceuticals/Adulterated,Warning Letter
06/04/2019,05/14/2019,Kingston Pharma LLC,Division of Pharmaceutical Quality Operations I,CGMP/Finished Pharmaceuticals/Adulterated,Warning Letter
06/04/2019,05/15/2019,"ActiveHerb Technology, Inc",Division of Pharmaceutical Quality Operations IV,Unapproved New Drugs/Misbranded,Warning Letter
06/04/2019,05/17/2019,"ARDT Sales, LLC",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,Warning Letter
05/28/2019,05/09/2019,Rocky Mountain Pharmacy Inc.,Center for Drug Evaluation and Research,Compounding Pharmacy/Adulteration/Misbranding,Warning Letter
05/21/2019,05/04/2019,Centurion Laboratories Private Limited,Center for Drug Evaluation and Research,"CGMP/Finished Pharmaceuticals/Adulterated, Centurion Laboratories Private Limited",Warning Letter
05/21/2019,05/06/2019,Velvet Ice Cream Company,Division of Human and Animal Food Operations East V,"CGMP/Food/Prepared, Packed or Held Under Insanitary Conditions/Adulterated/L. monocytogenes",Warning Letter
05/21/2019,05/07/2019,"AMMD Labs, LLC",Division of Pharmaceutical Quality Operations II,CGMP/Finished Pharmaceuticals/Adulterated,Warning Letter
05/21/2019,05/09/2019,"Zeller Power Products, LLC",Division of Medical Device and Radiological Health Operations West,CGMP/QSR/Medical Devices/Adulterated,Warning Letter
